struttura,N,dataflow,compile_s,run_s,argmin,atteso,ok
seq,4,0,52.9,78.34,3,3,1
seq,4,1,54.7,73.92,3,3,1
tour,4,0,30.1,36.10,3,3,1
tour,4,1,31.4,33.16,3,3,1
seq,8,0,25.2,180.35,3,3,1
seq,8,1,25.2,185.57,3,3,1
tour,8,0,94.4,69.14,3,3,1
