job,block,n,category,arm,tfhe_key,sequence,phase,expected_id,query_seconds,decoded_id,input_index,absolute_error,max_other_slots,decryption_seconds,encryption_seconds,stage_score_seconds,stage_layout_seconds,stage_comparison_seconds,stage_product_seconds,stage_output_seconds
15-block3-n64-tfhe-after,3,64,general,tfhe-after,1,4,measured,64,1.374431,64,17,,,,,,,,,
15-block3-n64-tfhe-after,3,64,mixed,tfhe-after,1,5,measured,64,1.5296675,64,23,,,,,,,,,
15-block3-n64-tfhe-after,3,64,aligned,tfhe-after,1,6,measured,64,1.445988083,64,12,,,,,,,,,
15-block3-n64-tfhe-after,3,64,general,tfhe-after,1,7,measured,64,1.382007541,64,18,,,,,,,,,
15-block3-n64-tfhe-after,3,64,mixed,tfhe-after,1,8,measured,64,1.549544333,64,24,,,,,,,,,
15-block3-n64-tfhe-after,3,64,aligned,tfhe-after,1,9,measured,64,1.417144625,64,13,,,,,,,,,
15-block3-n64-tfhe-after,3,64,general,tfhe-after,1,10,measured,64,1.407008125,64,19,,,,,,,,,
15-block3-n64-tfhe-after,3,64,mixed,tfhe-after,1,11,measured,64,1.534004958,64,25,,,,,,,,,
16-block3-n128-tfhe-before,3,128,mixed,tfhe-before,1,0,warmup,128,2.534145584,128,39,,,,,,,,,
16-block3-n128-tfhe-before,3,128,general,tfhe-before,1,1,warmup,128,2.317985667,128,33,,,,,,,,,
16-block3-n128-tfhe-before,3,128,aligned,tfhe-before,1,2,warmup,128,2.346968291,128,27,,,,,,,,,
16-block3-n128-tfhe-before,3,128,mixed,tfhe-before,1,3,measured,128,2.524397167,128,41,,,,,,,,,
16-block3-n128-tfhe-before,3,128,general,tfhe-before,1,4,measured,128,2.305029333,128,35,,,,,,,,,
16-block3-n128-tfhe-before,3,128,aligned,tfhe-before,1,5,measured,128,2.431595125,128,29,,,,,,,,,
16-block3-n128-tfhe-before,3,128,mixed,tfhe-before,1,6,measured,128,2.524256083,128,42,,,,,,,,,
16-block3-n128-tfhe-before,3,128,general,tfhe-before,1,7,measured,128,2.332512708,128,36,,,,,,,,,
16-block3-n128-tfhe-before,3,128,aligned,tfhe-before,1,8,measured,128,2.320121083,128,30,,,,,,,,,
16-block3-n128-tfhe-before,3,128,mixed,tfhe-before,1,9,measured,128,2.563258917,128,43,,,,,,,,,
16-block3-n128-tfhe-before,3,128,general,tfhe-before,1,10,measured,128,2.540791667,128,37,,,,,,,,,
16-block3-n128-tfhe-before,3,128,aligned,tfhe-before,1,11,measured,128,2.348341792,128,31,,,,,,,,,
17-block3-n128-ckks,3,128,mixed,ckks,1,0,warmup,128,3.306897125,128,,0.00154786579301458,1.3843279491067808e-05,0.011076833,0.08413725,0.5425385,1.024141208,1.514414042,0.136302958,0.089500125
17-block3-n128-ckks,3,128,general,ckks,1,1,warmup,128,3.2612855,128,,1.2051832385395755e-06,3.775011716895242e-05,0.009738625,0.077872042,0.515000209,1.038327666,1.486530083,0.13454025,0.086886916
17-block3-n128-ckks,3,128,aligned,ckks,1,2,warmup,128,3.23826075,128,,0.000420741909579192,7.557017255171682e-05,0.009739375,0.079898084,0.509715583,1.000291958,1.497981792,0.137608375,0.09266275
17-block3-n128-ckks,3,128,mixed,ckks,1,3,measured,128,3.2687765,128,,0.0022242573623998396,9.698931342186054e-05,0.010666042,0.081163959,0.510305125,1.011114,1.518867958,0.137213709,0.091275209
17-block3-n128-ckks,3,128,general,ckks,1,4,measured,128,3.284218084,128,,0.002900053714512296,4.4282621660637295e-05,0.010608208,0.079299458,0.549323709,0.993019417,1.512891,0.138792792,0.090190875
17-block3-n128-ckks,3,128,aligned,ckks,1,5,measured,128,3.256754875,128,,0.001876619450911221,3.0951347700303644e-05,0.009759958,0.078576917,0.514922291,0.995300292,1.518551291,0.13516825,0.0928125
17-block3-n128-ckks,3,128,mixed,ckks,1,6,measured,128,3.289738,128,,0.0010157359349705075,2.884330811843513e-05,0.008983334,0.084317709,0.542300667,1.008752,1.510849833,0.139157833,0.088677417
17-block3-n128-ckks,3,128,general,ckks,1,7,measured,128,3.29890425,128,,0.0022341257447919816,3.730639289602131e-05,0.010012583,0.078818375,0.532946875,1.018041209,1.521122,0.136469417,0.090324416
17-block3-n128-ckks,3,128,aligned,ckks,1,8,measured,128,3.247126958,128,,0.001488831031593918,2.2799094662194394e-05,0.008994792,0.080208417,0.526041375,0.992838083,1.502602292,0.136915958,0.088728792
17-block3-n128-ckks,3,128,mixed,ckks,1,9,measured,128,3.264401792,128,,0.0002915017750666493,3.29212702729862e-05,0.011969,0.081763,0.533543667,0.994985375,1.509961,0.135938917,0.089972541
17-block3-n128-ckks,3,128,general,ckks,1,10,measured,128,3.278695417,128,,0.0029877199701786594,2.385763097834146e-05,0.008519542,0.079990292,0.514213667,1.0153605,1.52410675,0.135526125,0.089487958
17-block3-n128-ckks,3,128,aligned,ckks,1,11,measured,128,3.277487,128,,0.004113498362485757,4.2632434783784775e-05,0.013496958,0.080733,0.539643708,1.0207005,1.491606958,0.136320208,0.089215333
18-block3-n128-tfhe-after,3,128,mixed,tfhe-after,1,0,warmup,128,2.605715792,128,39,,,,,,,,,
18-block3-n128-tfhe-after,3,128,general,tfhe-after,1,1,warmup,128,2.350837875,128,33,,,,,,,,,
18-block3-n128-tfhe-after,3,128,aligned,tfhe-after,1,2,warmup,128,2.392275166,128,27,,,,,,,,,
18-block3-n128-tfhe-after,3,128,mixed,tfhe-after,1,3,measured,128,2.6223575,128,41,,,,,,,,,
18-block3-n128-tfhe-after,3,128,general,tfhe-after,1,4,measured,128,2.415941959,128,35,,,,,,,,,
18-block3-n128-tfhe-after,3,128,aligned,tfhe-after,1,5,measured,128,2.524381583,128,29,,,,,,,,,
18-block3-n128-tfhe-after,3,128,mixed,tfhe-after,1,6,measured,128,2.579642292,128,42,,,,,,,,,
18-block3-n128-tfhe-after,3,128,general,tfhe-after,1,7,measured,128,2.381222291,128,36,,,,,,,,,
18-block3-n128-tfhe-after,3,128,aligned,tfhe-after,1,8,measured,128,2.327221208,128,30,,,,,,,,,
18-block3-n128-tfhe-after,3,128,mixed,tfhe-after,1,9,measured,128,2.549891125,128,43,,,,,,,,,
18-block3-n128-tfhe-after,3,128,general,tfhe-after,1,10,measured,128,2.350346209,128,37,,,,,,,,,
18-block3-n128-tfhe-after,3,128,aligned,tfhe-after,1,11,measured,128,2.34842825,128,31,,,,,,,,,
