poly,n,dg,df,N,t_distanze,t_soglia,banda_lo,banda_hi,err_punteggi,keygen_s,q_probe,range_analitico,range_osservato_test,discrepanze,confronti
16384,1,2,1,8,0.1159,0.048,-1381,1382,0.0177,1.04,7,16764,3562,0,512
16384,1,2,1,16,0.1166,0.047,-1381,1382,0.1354,1.04,7,16764,3562,0,512
16384,1,2,1,32,0.2365,0.056,-1381,1382,0.1354,1.04,7,16764,3562,0,512
16384,1,2,1,64,0.4718,0.05,-1381,1382,0.1354,1.04,7,16764,3562,0,512
16384,1,2,1,128,0.9969,0.048,-1381,1382,0.1354,1.04,7,16764,3562,0,512
