thread rayon: 1

    param |   N |    seq-F32 |       seq |    torneo |  +soglia | esito
   def/u8 |   8 |      2.86s |     2.43s |     2.36s |   0.041s | OK
   def/u8 |  16 |      6.34s |     5.31s |     5.10s |   0.040s | OK
   def/u8 |  32 |     13.15s |    11.08s |    10.95s |   0.040s | OK
   def/u8 |  64 |     27.62s |    23.40s |    22.30s |   0.039s | OK
   def/u8 | 128 |     55.70s |    48.20s |    46.74s |   0.040s | OK
  def/u16 |   8 |      5.75s |     4.77s |     4.51s |   0.071s | OK
  def/u16 |  16 |     12.70s |    10.36s |     9.96s |   0.070s | OK
  def/u16 |  32 |     26.66s |    21.99s |    22.29s |   0.069s | OK
  def/u16 |  64 |     55.40s |    45.95s |    43.14s |   0.071s | OK
  def/u16 | 128 |    112.56s |    94.18s |    90.45s |   0.070s | OK
   mb3/u8 |   8 |      1.26s |     1.07s |     1.01s |   0.018s | OK
   mb3/u8 |  16 |      2.77s |     2.32s |     2.23s |   0.018s | OK
   mb3/u8 |  32 |      5.85s |     4.87s |     4.70s |   0.017s | OK
   mb3/u8 |  64 |     12.12s |    10.09s |     9.84s |   0.018s | OK
   mb3/u8 | 128 |     24.49s |    21.09s |    20.71s |   0.018s | OK
  mb3/u16 |   8 |      2.57s |     2.10s |     2.05s |   0.030s | OK
  mb3/u16 |  16 |      5.58s |     4.54s |     4.28s |   0.030s | OK
  mb3/u16 |  32 |     11.67s |     9.57s |     9.02s |   0.029s | OK
  mb3/u16 |  64 |     23.86s |    19.93s |    18.97s |   0.030s | OK
  mb3/u16 | 128 |     48.11s |    40.04s |    38.53s |   0.030s | OK
DONE
